shot,start_frame,end_frame,length_frames,duration_s,scene,slate,take,slate_display,note,kind
73,8553,8691,139,5.792,147,461,I,147/461/I,CAM SHAKE,normal
74,8692,8748,57,2.375,113,467,I,113/467/I,,normal
75,8749,8824,76,3.167,169,472,I,169/472/I,,normal
76,8825,8855,31,1.292,110,478,I,110/478/I,SET EXTENSION,normal
77,8856,8870,15,0.625,,,,Snowfield-218,,stock
78,8871,8919,49,2.042,107,488,I,107/488/I,DUST BUST,normal
79,8920,8973,54,2.25,151pt2,493,I,151pt2/493/I,,pt2
80,8974,9024,51,2.125,120,498,I,120/498/I,,normal
81,9025,9053,29,1.208,142+143pt1,502,I,142+143pt1/502/I,SET EXTENSION,join
82,9054,9072,19,0.792,140,506,I,140/506/I,,normal
83,9073,9120,48,2.0,101,510,I,101/510/I,SKY REPLACE,normal
84,9121,9195,75,3.125,143,517,I,143/517/I,,normal
85,9196,9250,55,2.292,132,523,I,132/523/I,,normal
86,9251,9287,37,1.542,158,526,I,158/526/I,SCREEN COMP,normal
87,9288,9335,48,2.0,162,530,I,162/530/I,,normal
88,9336,9364,29,1.208,129,536,I,129/536/I,SCREEN COMP,normal
89,9365,9420,56,2.333,149,542,I,149/542/I,,normal
90,9421,9576,156,6.5,117,546,I,117/546/I,,normal
91,9577,9610,34,1.417,148,550,I,148/550/I,SCREEN COMP,normal
92,9611,9697,87,3.625,125,557,I,125/557/I,,normal
93,9698,9818,121,5.042,160,560,I,160/560/I,CAM SHAKE,normal
94,9819,9885,67,2.792,133,567,I,133/567/I,,normal
95,9886,9960,75,3.125,131,571,I,131/571/I,,normal
96,9961,9999,39,1.625,168,577,I,168/577/I,ADD SNOW,normal
97,10000,10051,52,2.167,139,582,I,139/582/I,,normal
98,10052,10212,161,6.708,121,586,I,121/586/I,STABILIZE,normal
99,10213,10267,55,2.292,146,591,I,146/591/I,,normal
100,10268,10355,88,3.667,111,596,I,111/596/I,,normal
101,10356,10420,65,2.708,114,603,I,114/603/I,ADD SNOW,normal
102,10421,10490,70,2.917,130,606,I,130/606/I,,normal
103,10491,10526,36,1.5,122,613,I,122/613/I,SKY REPLACE,normal
104,10527,10589,63,2.625,163pt2,615,I,163pt2/615/I,,pt2
105,10590,10677,88,3.667,134,620,I,134/620/I,,normal
106,10678,11083,406,16.917,144+145pt1,627,I,144+145pt1/627/I,DUST BUST,join
107,11084,11156,73,3.042,102,632,I,102/632/I,,normal
108,11157,11240,84,3.5,179,636,I,179/636/I,STABILIZE,normal
109,11241,11269,29,1.208,145,642,I,145/642/I,,normal
110,11270,11355,86,3.583,123,648,I,123/648/I,,normal
111,11356,11495,140,5.833,118,652,I,118/652/I,SKY REPLACE,normal
112,11496,11525,30,1.25,172,655,I,172/655/I,,normal
113,11526,11571,46,1.917,124,661,I,124/661/I,SET EXTENSION,normal
114,11572,11602,31,1.292,173,666,I,173/666/I,,normal
115,11603,11614,12,0.5,176,673,I,176/673/I,,normal
116,11615,11652,38,1.583,167,676,I,167/676/I,SKY REPLACE,normal
117,11653,11713,61,2.542,178,681,I,178/681/I,,normal
118,11714,11746,33,1.375,150,688,I,150/688/I,STABILIZE,normal
119,11747,11798,52,2.167,166,690,I,166/690/I,,normal
120,11799,11802,4,0.167,135,698,I,135/698/I,,normal
121,11803,11840,38,1.583,175,702,I,175/702/I,SET EXTENSION,normal
122,11841,11893,53,2.208,127,705,I,127/705/I,,normal
123,11894,11939,46,1.917,119,713,I,119/713/I,ADD SNOW,normal
124,11940,11986,47,1.958,164,718,I,164/718/I,,normal
125,11987,12018,32,1.333,161,721,I,161/721/I,,normal
126,12019,12033,15,0.625,103,728,I,103/728/I,SKY REPLACE,normal
127,12034,12057,24,1.0,155,730,I,155/730/I,,normal
128,12058,12089,32,1.333,177,738,I,177/738/I,DUST BUST,normal
129,12090,12141,52,2.167,126pt2,743,I,126pt2/743/I,,pt2
130,12142,12239,98,4.083,152,745,I,152/745/I,,normal
131,12240,12429,190,7.917,157+158pt1,751,I,157+158pt1/751/I,MONITOR INSERT,join
132,12430,12504,75,3.125,159,756,I,159/756/I,,normal
133,12505,12658,154,6.417,138,760,I,138/760/I,MONITOR INSERT,normal
134,12659,12726,68,2.833,170,768,I,170/768/I,,normal
135,12727,12749,23,0.958,141,771,I,141/771/I,,normal
136,12750,12905,156,6.5,115,778,I,115/778/I,SKY REPLACE,normal
137,12906,12941,36,1.5,171,781,I,171/781/I,,normal
138,12942,13036,95,3.958,137,786,I,137/786/I,CLEAN UP,normal
139,13037,13268,232,9.667,153,790,I,153/790/I,,normal
140,13269,13364,96,4.0,104,795,I,104/795/I,,normal
141,13365,13543,179,7.458,174,801,I,174/801/I,WIRE REMOVAL,normal
142,13544,13795,252,10.5,136,806,I,136/806/I,,normal
143,13796,14112,317,13.208,106,811,I,106/811/I,CLEAN UP,normal
144,14113,14139,27,1.125,116,817,I,116/817/I,,normal
145,14140,14258,119,4.958,109,821,I,109/821/I,,normal
146,14259,14268,10,0.417,154,827,I,154/827/I,SCREEN COMP,normal
147,14269,14343,75,3.125,156,831,I,156/831/I,,normal
148,14344,14652,309,12.875,112,837,I,112/837/I,CAM SHAKE,normal
149,14653,14805,153,6.375,105,843,I,105/843/I,,normal
150,14806,14899,94,3.917,128,846,I,128/846/I,,normal
151,14900,17028,2129,88.708,165,850,I,165/850/I,SKY REPLACE,normal
152,17029,17528,500,20.833,,,,Snowfield-569,,stock
153,17529,17620,92,3.833,108,863,I,108/863/I,SCREEN COMP,normal
